date,SMA
2006-04-10,187.2355
2006-04-11,188.7025
2006-04-12,190.3187
2006-04-13,191.9084
2006-04-17,193.5893
2006-04-18,194.9949
2006-04-19,196.7649
2006-04-20,198.6402
2006-04-21,201.0278
2006-04-24,202.9011
2006-04-25,204.3423
2006-04-26,205.5653
2006-04-27,206.1935
2006-04-28,206.9333
2006-05-01,207.1565
2006-05-02,207.2844
2006-05-03,207.0293
2006-05-04,206.6973
2006-05-05,206.274
2006-05-08,205.9886
2006-05-09,205.7985
2006-05-10,205.631
2006-05-11,205.0806
2006-05-12,204.3776
2006-05-15,203.6098
2006-05-16,202.7837
2006-05-17,201.8809
2006-05-18,200.7773
2006-05-19,199.0951
2006-05-22,197.351
2006-05-23,196.0575
2006-05-24,194.936
2006-05-25,194.0071
2006-05-26,193.0895
2006-05-30,192.4135
2006-05-31,191.8372
2006-06-01,191.5475
2006-06-02,191.1636
2006-06-05,190.6656
2006-06-06,190.5454
2006-06-07,189.9865
2006-06-08,189.7437
2006-06-09,189.7761
2006-06-12,189.9619
2006-06-13,190.2208
2006-06-14,190.5491
2006-06-15,190.9629
2006-06-16,191.4571
2006-06-19,191.9115
2006-06-20,192.3183
2006-06-21,192.9841
2006-06-22,193.4531
2006-06-23,194.0015
2006-06-26,194.575
2006-06-27,195.3369
2006-06-28,196.1968
2006-06-29,197.0792
2006-06-30,198.0796
2006-07-03,199.3024
2006-07-05,200.0915
2006-07-06,201.0114
2006-07-07,201.6922
2006-07-10,202.4423
2006-07-11,203.5211
2006-07-12,204.2916
2006-07-13,204.9045
2006-07-14,205.218
2006-07-17,205.6491
2006-07-18,206.023
2006-07-19,206.3196
2006-07-20,205.9432
2006-07-21,205.6964
2006-07-24,205.3463
2006-07-25,204.9737
2006-07-26,204.5519
2006-07-27,203.9573
2006-07-28,203.2127
2006-07-31,202.392
2006-08-01,201.196
2006-08-02,199.8361
2006-08-03,198.6374
2006-08-04,197.4688
2006-08-07,196.4594
2006-08-08,195.367
2006-08-09,194.3562
2006-08-10,193.4877
2006-08-11,192.61
2006-08-14,191.6455
2006-08-15,191.0918
2006-08-16,190.809
2006-08-17,190.7759
2006-08-18,190.6066
2006-08-21,190.2656
2006-08-22,189.988
2006-08-23,189.6853
2006-08-24,189.4679
2006-08-25,189.0952
2006-08-28,188.9535
2006-08-29,189.0398
2006-08-30,189.3788
2006-08-31,189.4576
2006-09-01,189.5767
2006-09-05,189.7375
2006-09-06,189.7159
2006-09-07,189.7548
2006-09-08,189.8463
2006-09-11,190.2372
2006-09-12,190.8007
2006-09-13,191.4427
2006-09-14,191.8505
2006-09-15,192.4543
2006-09-18,193.24
2006-09-19,193.9048
2006-09-20,194.374
2006-09-21,195.2121
2006-09-22,195.9657
2006-09-25,196.7361
2006-09-26,197.3861
2006-09-27,197.9872
2006-09-28,198.5597
2006-09-29,199.1457
2006-10-02,199.7185
2006-10-03,200.212
2006-10-04,201.1038
2006-10-05,201.9394
2006-10-06,203.0089
2006-10-09,204.1351
2006-10-10,205.0066
2006-10-11,205.5064
2006-10-12,206.0947
2006-10-13,206.5315
2006-10-16,206.7086
2006-10-17,207.1306
2006-10-18,207.6901
2006-10-19,208.1719
2006-10-20,209.5734
2006-10-23,211.4994
2006-10-24,213.1655
2006-10-25,215.264
2006-10-26,217.3083
2006-10-27,219.1465
2006-10-30,221.0306
2006-10-31,222.8449
2006-11-01,224.1439
2006-11-02,225.6009
2006-11-03,226.8874
2006-11-06,228.0898
2006-11-07,229.2414
2006-11-08,230.4576
2006-11-09,231.5909
2006-11-10,232.7507
2006-11-13,234.2373
2006-11-14,235.9591
2006-11-15,237.7802
2006-11-16,239.5316
2006-11-17,240.5127
2006-11-20,240.8705
2006-11-21,241.7818
2006-11-22,242.3187
2006-11-24,242.8178
2006-11-27,243.0572
2006-11-28,243.3815
2006-11-29,243.5886
2006-11-30,244.0227
2006-12-01,244.2958
2006-12-04,244.6231
2006-12-05,244.8752
2006-12-06,245.2799
2006-12-07,245.4715
2006-12-08,245.7594
2006-12-11,246.0197
2006-12-12,246.0385
2006-12-13,245.7799
2006-12-14,245.5339
2006-12-15,245.1427
2006-12-18,244.2402
2006-12-19,243.5777
2006-12-20,242.4053
2006-12-21,241.106
2006-12-22,239.8667
2006-12-26,239.1841
2006-12-27,238.6457
2006-12-28,238.0917
2006-12-29,237.4816
2007-01-03,237.1503
2007-01-04,237.1104
2007-01-05,237.1152
2007-01-08,236.9866
2007-01-09,237.0583
2007-01-10,237.1924
2007-01-11,237.5884
2007-01-12,238.1707
2007-01-16,238.8049
2007-01-17,239.1851
2007-01-18,239.3739
2007-01-19,240.0498
2007-01-22,240.356
2007-01-23,240.761
2007-01-24,241.836
2007-01-25,242.6513
2007-01-26,243.612
2007-01-29,244.2249
2007-01-30,245.0214
2007-01-31,246.05
2007-02-01,246.4051
2007-02-02,246.361
2007-02-05,245.8587
2007-02-06,245.5553
2007-02-07,245.1668
2007-02-08,244.7046
2007-02-09,243.756
2007-02-12,242.5846
2007-02-13,241.4516
2007-02-14,240.6654
2007-02-15,240.0044
2007-02-16,239.5076
2007-02-20,239.2884
2007-02-21,239.2084
2007-02-22,238.6261
2007-02-23,238.188
2007-02-26,237.4129
2007-02-27,236.317
2007-02-28,235.1918
2007-03-01,233.8559
2007-03-02,232.7758
2007-03-05,231.7588
2007-03-06,231.5178
2007-03-07,231.1206
2007-03-08,230.7371
2007-03-09,230.284
2007-03-12,230.1049
2007-03-13,229.7223
2007-03-14,229.4439
2007-03-15,228.9489
2007-03-16,228.4318
2007-03-19,227.8623
2007-03-20,227.1897
2007-03-21,226.7054
2007-03-22,226.3591
2007-03-23,226.1387
2007-03-26,226.1404
2007-03-27,226.5128
2007-03-28,226.8246
2007-03-29,227.1428
2007-03-30,227.6313
2007-04-02,228.0723
2007-04-03,228.4497
2007-04-04,228.8354
2007-04-05,229.2564
2007-04-09,229.6389
2007-04-10,229.9335
2007-04-11,230.4727
2007-04-12,230.9589
2007-04-13,231.463
2007-04-16,232.3011
2007-04-17,232.9423
2007-04-18,233.7129
2007-04-19,234.0916
2007-04-20,234.6042
2007-04-23,235.0368
2007-04-24,235.351
2007-04-25,235.7114
2007-04-26,236.1954
2007-04-27,236.649
2007-04-30,236.9805
2007-05-01,237.2431
2007-05-02,237.0721
2007-05-03,237.1275
2007-05-04,237.1177
2007-05-07,237.0941
2007-05-08,237.1019
2007-05-09,237.2203
2007-05-10,237.0718
2007-05-11,237.0831
2007-05-14,236.7699
2007-05-15,236.3987
2007-05-16,236.3135
2007-05-17,236.2962
2007-05-18,235.9912
2007-05-21,235.7786
2007-05-22,235.7367
2007-05-23,235.6359
2007-05-24,235.4641
2007-05-25,235.5772
2007-05-29,235.9717
2007-05-30,236.714
2007-05-31,237.5197
2007-06-01,238.201
2007-06-04,239.1025
2007-06-05,240.3957
2007-06-06,241.6857
2007-06-07,242.8345
2007-06-08,244.1892
2007-06-11,245.3076
2007-06-12,246.3857
2007-06-13,247.5704
2007-06-14,248.3285
2007-06-15,249.2044
2007-06-18,250.3299
2007-06-19,251.426
2007-06-20,252.2814
2007-06-21,253.288
2007-06-22,254.5582
2007-06-25,255.6591
2007-06-26,256.7412
2007-06-27,257.4356
2007-06-28,258.1152
2007-06-29,258.6745
2007-07-02,259.2591
2007-07-03,259.6478
2007-07-05,260.2341
2007-07-06,260.8445
2007-07-09,261.5233
2007-07-10,262.3258
2007-07-11,263.3214
2007-07-12,264.3267
2007-07-13,265.5635
2007-07-16,266.7447
2007-07-17,267.7427
2007-07-18,268.6252
2007-07-19,269.5937
2007-07-20,269.7444
2007-07-23,269.4317
2007-07-24,269.0952
2007-07-25,268.5811
2007-07-26,268.1224
2007-07-27,267.7934
2007-07-30,267.6281
2007-07-31,267.1171
2007-08-01,266.5804
2007-08-02,265.8125
2007-08-03,264.8997
2007-08-06,264.0832
2007-08-07,263.3981
2007-08-08,262.9294
2007-08-09,262.162
2007-08-10,261.249
2007-08-13,260.3088
2007-08-14,259.1452
2007-08-15,257.8424
2007-08-16,256.4113
2007-08-17,255.9077
2007-08-20,255.5418
2007-08-21,255.3565
2007-08-22,255.4315
2007-08-23,255.5366
2007-08-24,255.6146
2007-08-27,255.5431
2007-08-28,255.4528
2007-08-29,255.4513
2007-08-30,255.4611
2007-08-31,255.7683
2007-09-04,256.1482
2007-09-05,256.4436
2007-09-06,256.3869
2007-09-07,256.5028
2007-09-10,256.471
2007-09-11,256.6172
2007-09-12,256.9695
2007-09-13,257.6523
2007-09-14,258.586
2007-09-17,259.2194
2007-09-18,260.1561
2007-09-19,261.1652
2007-09-20,262.1703
2007-09-21,263.3718
2007-09-24,264.7014
2007-09-25,266.0992
2007-09-26,267.648
2007-09-27,269.0177
2007-09-28,270.4188
2007-10-01,272.1065
2007-10-02,273.592
2007-10-03,275.0019
2007-10-04,276.3939
2007-10-05,278.2672
2007-10-08,280.6531
2007-10-09,283.0067
2007-10-10,285.5832
2007-10-11,288.0212
2007-10-12,290.7456
2007-10-15,293.1232
2007-10-16,295.1477
2007-10-17,297.3202
2007-10-18,299.4966
2007-10-19,301.6184
2007-10-22,303.6931
2007-10-23,306.3706
2007-10-24,309.0704
2007-10-25,311.6035
2007-10-26,314.2951
2007-10-29,316.7196
2007-10-30,319.4876
2007-10-31,322.5716
2007-11-01,325.6857
2007-11-02,328.6248
2007-11-05,331.5345
2007-11-06,334.7095
2007-11-07,337.4065
2007-11-08,339.2081
2007-11-09,339.8747
2007-11-12,340.1746
2007-11-13,341.2918
2007-11-14,341.4974
2007-11-15,341.2474
2007-11-16,340.9695
2007-11-19,340.3451
2007-11-20,339.6623
2007-11-21,339.2786
2007-11-23,339.484
2007-11-26,339.2683
2007-11-27,339.1263
2007-11-28,339.0634
2007-11-29,338.8126
2007-11-30,338.5566
2007-12-03,337.8113
2007-12-04,336.7708
2007-12-05,335.6855
2007-12-06,335.2421
2007-12-07,335.7695
2007-12-10,337.135
2007-12-11,338.8185
2007-12-12,339.7915
2007-12-13,341.1048
2007-12-14,342.6172
2007-12-17,343.51
2007-12-18,344.7012
2007-12-19,345.4241
2007-12-20,346.1556
2007-12-21,346.6569
2007-12-24,347.5279
2007-12-26,348.4625
2007-12-27,348.6752
2007-12-28,348.8139
2007-12-31,348.7757
2008-01-02,348.8675
2008-01-03,348.8969
2008-01-04,347.8559
2008-01-07,346.2005
2008-01-08,344.1143
2008-01-09,342.4788
2008-01-10,341.1629
2008-01-11,339.6307
2008-01-14,338.6218
2008-01-15,337.31
2008-01-16,335.9739
2008-01-17,334.1542
2008-01-18,332.2203
2008-01-22,329.5786
2008-01-23,325.8654
2008-01-24,322.6996
2008-01-25,319.0775
2008-01-28,315.4473
2008-01-29,311.6352
2008-01-30,308.0439
2008-01-31,305.0123
2008-02-01,300.7634
2008-02-04,296.7117
2008-02-05,293.1394
2008-02-06,289.8801
2008-02-07,286.1623
2008-02-08,282.9013
2008-02-11,279.965
2008-02-12,276.5612
2008-02-13,273.9775
2008-02-14,271.8785
2008-02-15,270.0942
2008-02-19,267.8047
2008-02-20,265.9151
2008-02-21,264.7675
2008-02-22,263.0951
2008-02-25,261.0899
2008-02-26,258.7881
2008-02-27,256.8406
2008-02-28,255.0129
2008-02-29,252.6777
2008-03-03,251.2012
2008-03-04,249.9265
2008-03-05,248.4444
2008-03-06,246.7138
2008-03-07,244.9183
2008-03-10,242.3336
2008-03-11,240.2943
2008-03-12,238.3405
2008-03-13,236.0431
2008-03-14,233.6776
2008-03-17,230.9248
2008-03-18,229.1747
2008-03-19,227.2437
2008-03-20,225.5056
2008-03-24,224.321
2008-03-25,223.4267
2008-03-26,223.2762
2008-03-27,222.5545
2008-03-28,221.6189
2008-03-31,220.8487
2008-04-01,221.0667
2008-04-02,221.5958
2008-04-03,221.7819
2008-04-04,222.7446
2008-04-07,223.8347
2008-04-08,225.1936
2008-04-09,225.8043
2008-04-10,226.529
2008-04-11,226.8911
2008-04-14,227.2357
2008-04-15,227.912
2008-04-16,228.31
2008-04-17,228.7499
2008-04-18,231.4046
2008-04-21,233.3413
2008-04-22,235.9549
2008-04-23,238.1692
2008-04-24,240.6509
2008-04-25,243.3086
2008-04-28,246.1085
2008-04-29,248.4346
2008-04-30,251.1578
2008-05-01,254.6175
2008-05-02,257.381
2008-05-05,260.3422
2008-05-06,263.3151
2008-05-07,266.1942
2008-05-08,269.0513
2008-05-09,271.954
2008-05-12,275.2963
2008-05-13,278.7109
2008-05-14,281.752
2008-05-15,285.0487
2008-05-16,286.0683
2008-05-19,287.0646
2008-05-20,287.6565
2008-05-21,287.7442
2008-05-22,287.9052
2008-05-23,287.9193
2008-05-27,288.1395
2008-05-28,288.3845
2008-05-29,288.6029
2008-05-30,288.4203
2008-06-02,288.2626
2008-06-03,287.5705
2008-06-04,287.2159
2008-06-05,287.3989
2008-06-06,286.9974
2008-06-09,286.613
2008-06-10,285.8414
2008-06-11,284.8934
2008-06-12,284.3079
2008-06-13,284.0699
2008-06-16,283.8878
2008-06-17,283.6857
2008-06-18,283.279
2008-06-19,283.535
2008-06-20,283.459
2008-06-23,283.4738
2008-06-24,283.0074
2008-06-25,282.575
2008-06-26,281.2163
2008-06-27,279.7686
2008-06-30,278.5504
2008-07-01,277.7336
2008-07-02,276.6006
2008-07-03,275.3643
2008-07-07,274.7852
2008-07-08,274.7015
2008-07-09,274.385
2008-07-10,274.2689
2008-07-11,273.7887
2008-07-14,272.5375
2008-07-15,271.1152
2008-07-16,270.266
2008-07-17,269.5403
2008-07-18,267.5622
2008-07-21,265.6154
2008-07-22,263.9077
2008-07-23,262.5765
2008-07-24,260.6862
2008-07-25,259.7624
2008-07-28,258.4847
2008-07-29,257.3986
2008-07-30,256.0938
2008-07-31,254.7574
2008-08-01,253.0236
2008-08-04,250.9945
2008-08-05,249.1218
2008-08-06,247.7372
2008-08-07,246.1962
2008-08-08,245.2235
2008-08-11,244.7024
2008-08-12,244.3643
2008-08-13,243.4723
2008-08-14,242.7714
2008-08-15,243.4944
2008-08-18,244.2342
2008-08-19,244.57
2008-08-20,244.4641
2008-08-21,244.7377
2008-08-22,244.7029
2008-08-25,244.8506
2008-08-26,244.6261
2008-08-27,244.272
2008-08-28,244.2728
2008-08-29,244.1582
2008-09-02,244.2146
2008-09-03,243.8274
2008-09-04,242.9226
2008-09-05,242.0482
2008-09-08,240.1659
2008-09-09,238.105
2008-09-10,235.8869
2008-09-11,234.2248
2008-09-12,232.5238
