date,EMA
2006-06-02,191.7371
2006-06-05,191.3621
2006-06-06,191.7656
2006-06-07,191.9645
2006-06-08,192.4687
2006-06-09,192.6856
2006-06-12,192.5594
2006-06-13,192.6834
2006-06-14,192.6936
2006-06-15,193.0185
2006-06-16,193.2981
2006-06-19,193.4289
2006-06-20,193.5008
2006-06-21,194.2805
2006-06-22,194.8818
2006-06-23,195.6604
2006-06-26,196.3343
2006-06-27,196.8532
2006-06-28,197.5037
2006-06-29,198.6511
2006-06-30,199.7619
2006-07-03,200.9518
2006-07-05,201.9452
2006-07-06,202.9266
2006-07-07,203.6837
2006-07-10,204.2612
2006-07-11,205.0875
2006-07-12,205.4859
2006-07-13,205.4442
2006-07-14,205.1519
2006-07-17,205.0971
2006-07-18,204.8163
2006-07-19,204.3688
2006-07-20,203.3965
2006-07-21,202.6595
2006-07-24,202.0305
2006-07-25,201.3879
2006-07-26,200.6221
2006-07-27,199.7811
2006-07-28,199.2935
2006-07-31,198.7797
2006-08-01,197.7851
2006-08-02,196.4897
2006-08-03,195.7074
2006-08-04,194.9261
2006-08-07,194.4151
2006-08-08,194.0984
2006-08-09,193.618
2006-08-10,193.0524
2006-08-11,192.2684
2006-08-14,191.6035
2006-08-15,191.5531
2006-08-16,191.83
2006-08-17,191.9888
2006-08-18,192.0159
2006-08-21,191.751
2006-08-22,191.5586
2006-08-23,191.1523
2006-08-24,190.7991
2006-08-25,190.4571
2006-08-28,190.515
2006-08-29,190.4718
2006-08-30,190.5187
2006-08-31,190.4551
2006-09-01,190.401
2006-09-05,190.6271
2006-09-06,190.6301
2006-09-07,190.554
2006-09-08,190.4545
2006-09-11,190.6626
2006-09-12,191.224
2006-09-13,192.4326
2006-09-14,193.4024
2006-09-15,194.5617
2006-09-18,195.8403
2006-09-19,196.4774
2006-09-20,196.7286
2006-09-21,197.4263
2006-09-22,197.911
2006-09-25,198.359
2006-09-26,198.9024
2006-09-27,199.2054
2006-09-28,199.5111
2006-09-29,199.7074
2006-10-02,199.863
2006-10-03,200.128
2006-10-04,200.9247
2006-10-05,201.4598
2006-10-06,202.3589
2006-10-09,203.5785
2006-10-10,204.5696
2006-10-11,205.4592
2006-10-12,206.309
2006-10-13,207.0711
2006-10-16,207.4956
2006-10-17,207.8266
2006-10-18,208.0626
2006-10-19,208.5985
2006-10-20,210.6888
2006-10-23,213.5884
2006-10-24,215.855
2006-10-25,218.5406
2006-10-26,220.8987
2006-10-27,222.5594
2006-10-30,224.1273
2006-10-31,225.5374
2006-11-01,226.3885
2006-11-02,227.2736
2006-11-03,228.1646
2006-11-06,229.2169
2006-11-07,229.9597
2006-11-08,230.7479
2006-11-09,231.3478
2006-11-10,231.9345
2006-11-13,232.8226
2006-11-14,234.0212
2006-11-15,235.2312
2006-11-16,236.5156
2006-11-17,237.8158
2006-11-20,238.8135
2006-11-21,240.4135
2006-11-22,241.7829
2006-11-24,242.878
2006-11-27,242.9016
2006-11-28,243.1498
2006-11-29,243.1427
2006-11-30,243.1439
2006-12-01,242.9535
2006-12-04,242.9747
2006-12-05,243.0965
2006-12-06,243.2884
2006-12-07,243.1721
2006-12-08,243.1371
2006-12-11,243.0968
2006-12-12,242.9577
2006-12-13,242.6985
2006-12-14,242.6136
2006-12-15,242.4498
2006-12-18,241.4657
2006-12-19,240.8537
2006-12-20,240.0264
2006-12-21,238.9578
2006-12-22,237.9614
2006-12-26,237.153
2006-12-27,236.9232
2006-12-28,236.4539
2006-12-29,235.93
2007-01-03,235.7956
2007-01-04,236.4225
2007-01-05,237.1775
2007-01-08,237.6881
2007-01-09,238.2417
2007-01-10,238.9318
2007-01-11,240.0463
2007-01-12,241.3068
2007-01-16,242.4129
2007-01-17,243.0793
2007-01-18,243.2308
2007-01-19,243.4596
2007-01-22,243.241
2007-01-23,242.9578
2007-01-24,243.6578
2007-01-25,243.7666
2007-01-26,244.2353
2007-01-29,244.4983
2007-01-30,244.8247
2007-01-31,245.463
2007-02-01,245.0971
2007-02-02,244.7541
2007-02-05,243.7587
2007-02-06,243.0646
2007-02-07,242.3663
2007-02-08,241.7832
2007-02-09,240.8191
2007-02-12,239.7749
2007-02-13,238.8688
2007-02-14,238.3752
2007-02-15,237.7156
2007-02-16,237.5234
2007-02-20,237.4527
2007-02-21,237.5683
2007-02-22,237.6725
2007-02-23,237.5169
2007-02-26,237.1043
2007-02-27,235.9591
2007-02-28,234.9555
2007-03-01,233.9891
2007-03-02,232.6587
2007-03-05,231.5631
2007-03-06,231.365
2007-03-07,231.0946
2007-03-08,230.806
2007-03-09,230.4608
2007-03-12,230.2339
2007-03-13,229.4689
2007-03-14,229.0141
2007-03-15,228.5162
2007-03-16,227.8106
2007-03-19,227.4769
2007-03-20,227.0819
2007-03-21,227.2629
2007-03-22,227.6888
2007-03-23,228.0642
2007-03-26,228.5552
2007-03-27,228.9335
2007-03-28,229.1927
2007-03-29,229.3814
2007-03-30,229.4202
2007-04-02,229.4731
2007-04-03,230.1929
2007-04-04,230.7688
2007-04-05,231.3132
2007-04-09,231.6481
2007-04-10,231.8695
2007-04-11,231.9756
2007-04-12,232.2083
2007-04-13,232.3663
2007-04-16,232.8904
2007-04-17,233.2943
2007-04-18,233.8131
2007-04-19,234.0743
